Course code,Course title
AFM100 , Introduction to Experiential Learning 
AFM101 , Introduction to Financial Accounting 
AFM102 , Introduction to Managerial Accounting 
AFM111 , Professional Pathways and Problem Solving 
AFM112 , Analy tic Methods for Business 1 
AFM113 , Analy tic Methods for Business 2 
AFM121 , Introduction to Global Financial Markets 
AFM123 , Accounting  Information for Managers 
AFM127 , Introduction to Global Capital Markets and Financial Analy tics 
AFM131 , Introduction to Business in North America 
AFM132 , Introduction to Business Stages 
AFM182 , Introduction to Financial Reporting  and Managerial Decision Making  2 
AFM191 , Introduction to Financial Reporting  and Managerial Decision Making 1 
AFM200 , Continuation of Experiential Learning 
AFM205 , Introduction to Financial Services 
AFM206 , Introduction to Tax 
AFM207 , Introduction to Performance Analy tics 
AFM208 , Introduction to Assurance 
AFM212 , Financial Analysis and Planning 
AFM231 , Business Law 
AFM241 , Impact of Technology on Business 
AFM244 , Analy tic Methods for Business 3 
AFM272 , Global Capital Markets and Financial Analytics 
AFM273 , Financial Instruments and Capital Markets 
AFM274 , Introduction to Corporate Finance 
AFM275 , Corporate Finance 
AFM276 , Financial Statement Analysis 
AFM280 , Introduction to Organizational Behaviour 
AFM285 , Introduction to Sustainability and Sustainable Business 
AFM291 , Intermediate Financial Accounting 1 
AFM311 , Connections to Ethical Context 
AFM321 , Personal Financial Planning  and Taxation 
AFM322 , Derivative Securities 
AFM323 , Quantitative Foundations for Finance 
AFM324 , Wealth Management 
AFM326 , Student Venture Fund   Analyst
AFM328 , Investment Management   Junior Analyst
AFM329 , Investment Management   Senior Analyst
AFM333 , International Business 
AFM334 , International Study Experience 
AFM335 , Business Law for Financial Managers 
AFM341 , Accounting Information Systems 
AFM345 , Business Ap plications of Social Media Analytics 
AFM346 , Ap plications of Predictive Analytics in Accounting and Finance 
AFM347 , Cybersecurity 
AFM362 , Corporate Taxation 
AFM373 , Cases and Ap plications in Corporate Finance 
AFM377 , Private Equity and Venture Capital 
AFM382 , Cost Management Systems 
AFM391 , Intermediate Financial Accounting 2 
AFM401 , Accounting  Theory 
AFM415 , Special Topics 
AFM416 , Special Topics in Finance 
AFM417 , Special Topics in Accounting 
AFM418 , Special Topics in Finance or Accounting 
AFM422 , Management of Financial Institutions 
AFM423 , Topics in Financial Econometrics 
AFM424 , Equity Investments 
AFM425 , Fixed Income Securities 
AFM426 , Student Venture Fund Associate
AFM427 , Intermediate Portfolio Management 
AFM428 , Investment Management   Junior Portfolio Manager
AFM429 , Investment Management   Senior Portfolio Manager
AFM433 , Business Strategy 
AFM434 , Corporate Governance and Risk Management 
AFM442 , E business: Enterprise Systems
AFM443 , E business: Introduction to Electronic Commerce
AFM444 , Business Analy tics Project Management 
AFM445 , Information Technology Assurance and Audit Analy tics 
AFM446 , Performance Management and Tax Analy tics 
AFM447 , Governance and Ethical Issues with Data and Emerging Technologies 
AFM448 , Data Analytics and Emerging Technologies Consulting Group 
AFM451 , Audit Strategy 
AFM452 , Internal Audit 
AFM462 , Specialized Topics in Taxation 
AFM463 , Introduction to U.S. Taxation 
